timestamp,consumption,holiday,temperature,consumption_outlier
2015-12-08 07:30:00,1865.5066508989548,Immaculate Conception,8.850000000000001,False
2015-12-08 07:45:00,2321.75374016969,Immaculate Conception,8.825000000000001,False
2015-12-08 08:00:00,2918.9822901153248,Immaculate Conception,8.8,False
2015-12-08 08:15:00,3216.486474846605,Immaculate Conception,8.950000000000001,False
2015-12-08 08:30:00,3672.178518996574,Immaculate Conception,9.1,False
2015-12-08 08:45:00,3621.1143678859808,Immaculate Conception,9.25,False
2015-12-08 09:00:00,3652.196894648951,Immaculate Conception,9.4,False
2015-12-08 09:15:00,3633.325360542861,Immaculate Conception,9.8,False
2015-12-08 09:30:00,3623.3345483690505,Immaculate Conception,10.2,False
2015-12-08 09:45:00,3814.2700699130073,Immaculate Conception,10.6,False
2015-12-08 10:00:00,3793.178355323849,Immaculate Conception,11.0,False
2015-12-08 10:15:00,3862.558995419764,Immaculate Conception,11.4,False
2015-12-08 10:30:00,3736.563753005583,Immaculate Conception,11.8,False
2015-12-08 10:45:00,4096.788036383572,Immaculate Conception,12.2,False
2015-12-08 11:00:00,3795.953580927687,Immaculate Conception,12.6,False
2015-12-08 11:15:00,3859.783769815928,Immaculate Conception,12.85,False
2015-12-08 11:30:00,3775.9719565800624,Immaculate Conception,13.1,False
2015-12-08 11:45:00,3753.2151066286015,Immaculate Conception,13.35,False
2015-12-08 12:00:00,3794.843490686151,Immaculate Conception,13.6,False
2015-12-08 12:15:00,3852.568183245952,Immaculate Conception,13.9,False
2015-12-08 12:30:00,3860.893860057462,Immaculate Conception,14.2,False
2015-12-08 12:45:00,3919.1735977380304,Immaculate Conception,14.500000000000002,False
2015-12-08 13:00:00,3357.4679355215053,Immaculate Conception,14.8,False
2015-12-08 13:15:00,3327.4954990000697,Immaculate Conception,15.075,False
2015-12-08 13:30:00,3037.206900838762,Immaculate Conception,15.35,False
2015-12-08 13:45:00,2205.7493099293206,Immaculate Conception,15.625,False
2015-12-08 14:00:00,2479.386554467608,Immaculate Conception,15.9,False
2015-12-08 14:15:00,2178.552099011722,Immaculate Conception,15.975,False
2015-12-08 14:30:00,1934.887290994869,Immaculate Conception,16.05,False
2015-12-08 14:45:00,1962.084501912468,Immaculate Conception,16.125,False
2015-12-08 15:00:00,2103.6210077081337,Immaculate Conception,16.2,False
2015-12-08 15:15:00,1995.9422542792745,Immaculate Conception,15.925,False
2015-12-08 15:30:00,1992.0569384339035,Immaculate Conception,15.65,False
2015-12-08 15:45:00,1806.116822976852,Immaculate Conception,15.375,False
2015-12-08 16:00:00,1715.6444682917788,Immaculate Conception,15.1,False
2015-12-08 16:15:00,1753.3875365039569,Immaculate Conception,14.6125,False
2015-12-08 16:30:00,2370.042665676446,Immaculate Conception,14.125,False
2015-12-08 16:45:00,1966.5248628786069,Immaculate Conception,13.6375,False
2015-12-08 17:00:00,2061.437578529818,Immaculate Conception,13.15,False
2015-12-08 17:15:00,2088.634789447417,Immaculate Conception,12.6625,False
2015-12-08 17:30:00,2101.400827225065,Immaculate Conception,12.175,False
2015-12-08 17:45:00,1838.3094399813565,Immaculate Conception,11.687499999999998,False
2015-12-08 18:00:00,1814.997544909129,Immaculate Conception,11.2,False
2015-12-08 18:15:00,1762.823303557001,Immaculate Conception,10.95,False
2015-12-08 18:30:00,1778.364566938486,Immaculate Conception,10.7,False
2015-12-08 18:45:00,1924.8964788210567,Immaculate Conception,10.45,False
2015-12-08 19:00:00,1887.7084557296475,Immaculate Conception,10.2,False
2015-12-08 19:15:00,2069.763255341328,Immaculate Conception,10.05,False
